,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.2943,0.2884,0.249,0.2121
1,$u_{vMF}$,0.2981,0.2971,0.2793,0.2488
2,$u_{power}$,0.2981,0.2972,0.2798,0.2504
3,$u_{baseline}$,0.2981,0.2971,0.2799,0.2501
4,$u_{vMF} + u_{SCF}$,0.2977,0.2966,0.2792,0.2488
5,$u_{power} + u_{SCF}$,0.2981,0.2971,0.2798,0.2504
6,$u_{baseline} + u_{SCF}$,0.2981,0.2971,0.2797,0.25
