,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.3,0.3,0.3,0.3
1,$u_{vMF}$,0.3,0.3,0.3,0.3
2,$u_{power}$,0.3,0.3,0.3,0.3
3,$u_{baseline}$,0.3,0.3,0.3,0.3
4,$u_{vMF} + u_{SCF}$,0.3,0.3,0.3,0.3
5,$u_{power} + u_{SCF}$,0.3,0.3,0.3,0.3
6,$u_{baseline} + u_{SCF}$,0.3,0.3,0.3,0.3
