,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,6.3,13.08,66.58,134.52
1,$u_{vMF}$,2.28,3.58,28.22,77.88
2,$u_{power}$,2.3,3.52,27.5,75.36
3,$u_{baseline}$,2.3,3.6,27.34,75.86
4,$u_{vMF} + u_{SCF}$,2.6,4.0,28.24,77.92
5,$u_{power} + u_{SCF}$,2.32,3.6,27.54,75.3
6,$u_{baseline} + u_{SCF}$,2.3,3.62,27.56,76.06
