,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.0,0.0,0.0,0.0
1,$u_{vMF}$,0.0,0.0,0.0,0.0
2,$u_{power}$,0.0,0.0,0.0,0.0
3,$u_{baseline}$,0.0,0.0,0.0,0.0
4,$u_{vMF} + u_{SCF}$,0.0,0.0,0.0,0.0
5,$u_{power} + u_{SCF}$,0.0,0.0,0.0,0.0
6,$u_{baseline} + u_{SCF}$,0.0,0.0,0.0,0.0
