,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.0015,0.003,0.0153,0.031
1,$u_{vMF}$,0.0005,0.0008,0.0062,0.0175
2,$u_{power}$,0.0005,0.0008,0.006,0.0169
3,$u_{baseline}$,0.0005,0.0008,0.0059,0.017
4,$u_{vMF} + u_{SCF}$,0.0006,0.0009,0.0062,0.0176
5,$u_{power} + u_{SCF}$,0.0005,0.0008,0.006,0.0169
6,$u_{baseline} + u_{SCF}$,0.0005,0.0008,0.006,0.0171
