,models,auc,far
0,$u_{SCF}$,6.14,0.1
1,$u_{power}$,7.98,0.1
2,$u_{baseline}$,9.62,0.1
3,$u_{power} + u_{SCF}$,6.5,0.1
4,$u_{baseline} + u_{SCF}$,7.66,0.1
