,models,auc,far
0,$u_{SCF}$,0.2832,0.1
1,$u_{power}$,0.2907,0.1
2,$u_{baseline}$,0.2903,0.1
3,$u_{power} + u_{SCF}$,0.291,0.1
4,$u_{baseline} + u_{SCF}$,0.2907,0.1
