,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{SCF}$,85,72,59,49,47,42,39,35,33,31,31,29,27,26,26
1,$u_{power}$,85,76,70,62,54,47,42,37,33,30,24,21,19,15,10
2,$u_{baseline}$,85,74,67,61,53,47,41,36,33,27,23,21,16,14,12
3,$u_{power} + u_{SCF}$,85,76,67,62,52,45,42,35,29,26,19,12,12,9,7
4,$u_{baseline} + u_{SCF}$,85,73,66,55,51,44,37,31,29,24,17,12,11,9,8
