,models,auc,far
0,$u_{SCF}$,30.06,0.1
1,$u_{power}$,46.18,0.1
2,$u_{baseline}$,45.96,0.1
3,$u_{power} + u_{SCF}$,41.4,0.1
4,$u_{baseline} + u_{SCF}$,41.86,0.1
