,models,auc,far
0,$u_{SCF}$,0.2944,0.1
1,$u_{power}$,0.293,0.1
2,$u_{baseline}$,0.2929,0.1
3,$u_{power} + u_{SCF}$,0.2937,0.1
4,$u_{baseline} + u_{SCF}$,0.2936,0.1
