pretty_name,model_name,final_AUC_1_rank,final_top_1_recall_at_far_0.0001,final_top_1_recall_at_far_0.001,final_top_1_recall_at_far_0.01,final_top_1_recall_at_far_0.1,final_top_1_recall_at_far_1,final_AUC_5_rank,final_top_5_recall_at_far_0.0001,final_top_5_recall_at_far_0.001,final_top_5_recall_at_far_0.01,final_top_5_recall_at_far_0.1,final_top_5_recall_at_far_1,final_AUC_10_rank,final_top_10_recall_at_far_0.0001,final_top_10_recall_at_far_0.001,final_top_10_recall_at_far_0.01,final_top_10_recall_at_far_0.1,final_top_10_recall_at_far_1,final_AUC_20_rank,final_top_20_recall_at_far_0.0001,final_top_20_recall_at_far_0.001,final_top_20_recall_at_far_0.01,final_top_20_recall_at_far_0.1,final_top_20_recall_at_far_1
CosineSim,pooling-with-PoolingSCF_use-det-score-True_eval-with-CosineSim_conf-func-MaxSimilarity_confidence,0.0364417778627444,0.021333333333333333,0.02166666666666666,0.026999999999999986,0.03199999999999998,0.048666666666666664,0.06716547660289773,0.03666666666666667,0.03733333333333332,0.04699999999999995,0.058999999999999976,0.08733333333333333,0.08177002238083092,0.044333333333333336,0.044999999999999984,0.0566666666666666,0.07166666666666663,0.10666666666666667,0.10396356564596669,0.058,0.05966666666666664,0.07333333333333324,0.09099999999999996,0.13366666666666666
SCF_dist,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-MaxSimilarity_confidence,0.028249988807667516,0.0003333333333333333,0.001333333333333326,0.006,0.02033333333333333,0.035,0.058847303652280566,0.0003333333333333333,0.001333333333333326,0.0076666666666666515,0.03933333333333321,0.07466666666666667,0.0729320213307593,0.0003333333333333333,0.001333333333333326,0.008333333333333304,0.04733333333333321,0.09366666666666666,0.09543957539315054,0.0003333333333333333,0.001333333333333326,0.009666666666666622,0.06199999999999979,0.12233333333333334
SCF_NAC-k=120,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-NAC_confidence_conf-args-k:120-s:1-normalize:True,0.024372608413768967,0.004,0.005333333333333333,0.009333333333333334,0.014666666666666597,0.035,0.04168759973541335,0.004,0.005333333333333333,0.01,0.01966666666666655,0.07466666666666667,0.04948186779904426,0.004,0.005333333333333333,0.011,0.021333333333333194,0.09366666666666666,0.060036584834799,0.004,0.005333333333333333,0.011333333333333334,0.023333333333333196,0.12233333333333334
