pretty_name,model_name,final_auc_1_unc_frac_0.0,final_auc_10_unc_frac_0.0,final_auc_20_unc_frac_0.0,final_auc_1_unc_frac_0.1,final_auc_10_unc_frac_0.1,final_auc_20_unc_frac_0.1,final_auc_1_unc_frac_0.2,final_auc_10_unc_frac_0.2,final_auc_20_unc_frac_0.2,final_auc_1_unc_frac_0.3,final_auc_10_unc_frac_0.3,final_auc_20_unc_frac_0.3,final_auc_1_unc_frac_0.4,final_auc_10_unc_frac_0.4,final_auc_20_unc_frac_0.4,final_auc_1_unc_frac_0.5,final_auc_10_unc_frac_0.5,final_auc_20_unc_frac_0.5,final_auc_1_unc_frac_0.6,final_auc_10_unc_frac_0.6,final_auc_20_unc_frac_0.6,final_auc_1_unc_frac_0.7,final_auc_10_unc_frac_0.7,final_auc_20_unc_frac_0.7
CosineSim,pooling-with-PoolingSCF_use-det-score-True_eval-with-CosineSim_conf-func-MaxSimilarity_confidence,0.0364417778627444,0.08177002238083092,0.10396356564596669,0.03878298387700361,0.08628776609404905,0.10998058361181982,0.04141981553851356,0.0919059846615158,0.1159048536501785,0.04377484710106613,0.0982445371071849,0.12386969718436985,0.0466870465000277,0.10444334328785199,0.13159658160873453,0.05064656288724895,0.1134917321830364,0.143371166480304,0.0556778928525525,0.12172811653491081,0.15391579683497925,0.06265050390143012,0.12911227029700356,0.1679919845425951
SCF_dist,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-MaxSimilarity_confidence,0.028249988807667516,0.0729320213307593,0.09543957539315054,0.02951555144008381,0.07583305985987752,0.09857791894513658,0.032135677174200475,0.08035405813697136,0.10411909770400651,0.03457492880929312,0.08623044194796717,0.11038737414679509,0.036490241691530666,0.09158256729600704,0.11640958490527382,0.04059031604746673,0.09660748590565481,0.1211537082931452,0.04409508670427779,0.10220030731199305,0.13050005208898863,0.05242258078690472,0.11359844624354103,0.14148802573666616
SCF_NAC-k=120,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-NAC_confidence_conf-args-k:120-s:1-normalize:True,0.024372608413768967,0.04948186779904426,0.060036584834799,0.02368156964438273,0.04958324074005656,0.06058375771420405,0.024060669499396517,0.05037676758274759,0.060760570130190414,0.026300678620380692,0.05309053456034746,0.06411049126395461,0.029102926598397753,0.055848618560832536,0.06593684376852259,0.02902387706294043,0.05555758462358052,0.06482406758119773,0.03305061971354987,0.05954555944395977,0.06939579455731111,0.04083552329759787,0.06720621955653007,0.07673507680881922
