,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,1.76,2.48,4.74,6.5
1,$u_{vMF}$,0.38,0.76,3.32,5.24
2,$u_{power}$,0.34,0.72,3.06,5.04
3,$u_{baseline}$,0.0,1.62,3.64,5.46
4,$u_{vMF} + u_{SCF}$,1.48,2.5,3.72,5.22
5,$u_{power} + u_{SCF}$,0.38,1.12,3.54,5.1
6,$u_{baseline} + u_{SCF}$,0.0,1.66,3.7,5.3
