,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,105.76,49.08,11.38,8.02
1,$u_{vMF}$,55.22,17.24,7.72,6.12
2,$u_{power}$,51.1,17.94,7.74,6.14
3,$u_{baseline}$,286.8,17.24,7.7,5.98
4,$u_{vMF} + u_{SCF}$,91.28,36.24,8.48,6.04
5,$u_{power} + u_{SCF}$,59.62,21.12,8.0,6.04
6,$u_{baseline} + u_{SCF}$,281.5,16.28,7.14,5.74
