,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.2714,0.2838,0.2921,0.2928
1,$u_{vMF}$,0.2726,0.2878,0.2911,0.2914
2,$u_{power}$,0.2756,0.2875,0.2911,0.2914
3,$u_{baseline}$,0.2045,0.2876,0.291,0.2914
4,$u_{vMF} + u_{SCF}$,0.2741,0.2864,0.2923,0.2921
5,$u_{power} + u_{SCF}$,0.2791,0.2896,0.2923,0.2922
6,$u_{baseline} + u_{SCF}$,0.2065,0.2892,0.2918,0.292
