,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,10.82,13.52,67.68,131.84
1,$u_{vMF}$,8.12,11.48,27.8,69.6
2,$u_{power}$,7.12,11.2,27.38,66.94
3,$u_{baseline}$,3.2,11.48,27.96,70.36
4,$u_{vMF} + u_{SCF}$,10.28,11.76,30.02,70.92
5,$u_{power} + u_{SCF}$,9.1,11.56,28.54,69.66
6,$u_{baseline} + u_{SCF}$,3.1,11.4,28.54,72.38
