,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,141.58,87.6,104.06,164.86
1,$u_{vMF}$,105.88,65.82,71.28,111.94
2,$u_{power}$,99.82,66.66,70.66,109.24
3,$u_{baseline}$,335.04,66.66,71.84,112.8
4,$u_{vMF} + u_{SCF}$,127.26,73.3,66.84,110.1
5,$u_{power} + u_{SCF}$,97.86,58.38,65.66,108.06
6,$u_{baseline} + u_{SCF}$,329.64,59.8,68.16,111.66
