,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.0026,0.0032,0.0162,0.0315
1,$u_{vMF}$,0.0016,0.0027,0.0068,0.0173
2,$u_{power}$,0.0014,0.0026,0.0067,0.0165
3,$u_{baseline}$,0.0006,0.0027,0.0068,0.0174
4,$u_{vMF} + u_{SCF}$,0.0024,0.0027,0.0072,0.0177
5,$u_{power} + u_{SCF}$,0.0019,0.0026,0.0068,0.0173
6,$u_{baseline} + u_{SCF}$,0.0006,0.0026,0.0069,0.018
