,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF_tau-0.33_T-5.38_T_data-1,237,26,16,49,328,0.9780722891566265,0.0681230238574303,0.9611650485436892
1,vMF_tau-0.33_T-5.38_T_data-1,63,10,10,84,167,0.9782926320183678,0.022198731501057084,0.9824965936484645
