,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF_tau-0.33_T-5.38_T_data-1,635,26,12,60,733,0.9864827586206897,0.09822119102861562,0.9512535745161934
1,vMF_tau-0.33_T-5.38_T_data-1,124,10,11,96,241,0.987389523604225,0.027946810908271353,0.987017184722297
