,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,3865,0,69,0,3934,0.9843253066787824,0.9943401080524826,0.6877777777777778
1,$u_{SCF}$,3163,4,60,9,3236,0.9834166288050886,0.8137381013635194,0.7279300487640827
2,$u_{SCF}$,652,19,21,48,740,0.980009086778737,0.167738615899151,0.9210076857386849
3,$u_{SCF}$,268,27,16,53,364,0.9781917310313494,0.06894777463339337,0.9594474153297683
4,$u_{SCF}$,170,37,12,57,276,0.975920036347115,0.043735528685361465,0.9688768606224628
5,$u_{SCF}$,55,98,11,58,222,0.9620626987732849,0.014149729868793414,0.9744592728946158
6,$u_{power} + u_{SCF}$,3349,0,81,0,3430,0.9836032388663968,1.0,0.7391238211134772
7,$u_{power} + u_{SCF}$,2920,3,74,8,3005,0.9828004856333469,0.8724230654317299,0.7637392876798491
8,$u_{power} + u_{SCF}$,344,9,19,62,434,0.9815950920245399,0.10120623712856723,0.9567470599960135
9,$u_{power} + u_{SCF}$,104,13,13,57,187,0.982704730152115,0.02979942693409742,0.980559309699553
10,$u_{power} + u_{SCF}$,61,19,11,55,146,0.9819341126461212,0.017020089285714284,0.9844449179629235
11,$u_{power} + u_{SCF}$,42,28,7,55,132,0.9795918367346939,0.01082753286929621,0.9849521203830368
