,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,3331,0,56,0,3387,0.9861966970667981,0.9937350835322196,0.702607779436298
1,$u_{SCF}$,2743,4,51,5,2803,0.9852107468572837,0.8183174224343676,0.7403908493099934
2,$u_{SCF}$,571,18,18,38,645,0.9817599211239832,0.17034606205250596,0.9250958076878412
3,$u_{SCF}$,235,25,14,42,316,0.980034508257333,0.07010739856801909,0.9617803580067731
4,$u_{SCF}$,149,32,11,45,237,0.9783090953906828,0.04445107398568019,0.9710091743119266
5,$u_{SCF}$,45,86,10,46,187,0.9649987675622381,0.013424821002386634,0.9766745665460896
6,$u_{power} + u_{SCF}$,2510,0,56,0,2566,0.9885690957338232,1.0,0.7905648057460006
7,$u_{power} + u_{SCF}$,2303,2,62,2,2369,0.9865799105327369,0.9245283018867925,0.8037770231094177
8,$u_{power} + u_{SCF}$,273,7,18,33,331,0.988036303630363,0.1065989847715736,0.9666027646049844
9,$u_{power} + u_{SCF}$,94,11,11,42,158,0.9863858753456711,0.03471196454948301,0.9832485156912637
10,$u_{power} + u_{SCF}$,55,14,10,46,125,0.9846221441124781,0.019250962548127408,0.9862471118934977
11,$u_{power} + u_{SCF}$,36,22,4,48,110,0.9824394874228761,0.011267605633802818,0.9868891537544696
