,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$Average$,2911,0,81,0,2992,0.9835965978128797,1.0,0.7645206988824177
1,$Average$,2856,0,81,1,2938,0.9833940866747671,0.9811061490896599,0.7677470355731226
2,$Average$,255,10,18,79,362,0.9781944161402079,0.0866757307953773,0.9636619152780567
3,$Average$,66,11,10,88,175,0.9772822009170488,0.021632251720747297,0.9816811472835759
4,$Average$,48,11,6,91,156,0.9770603228547153,0.015281757402101241,0.983326207781103
5,$Average$,37,16,2,98,153,0.9734249713631157,0.010619977037887486,0.9823141833314069
6,$u_{SCF}$,3598,0,65,0,3663,0.9846299361551194,0.9939226519337017,0.694520890668001
7,$u_{SCF}$,2950,4,58,7,3019,0.9836840860723576,0.8149171270718232,0.7337507716729871
8,$u_{SCF}$,611,19,21,44,695,0.9801371482620005,0.16878453038674032,0.9226488592097941
9,$u_{SCF}$,250,27,16,49,342,0.9782454480964767,0.06906077348066299,0.9603064066852367
10,$u_{SCF}$,158,36,12,53,259,0.9761172854102624,0.04364640883977901,0.9695830886670581
11,$u_{SCF}$,50,94,11,54,209,0.9624024592102152,0.013812154696132596,0.9749670619235836
