,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$Average$,4402,0,125,0,4527,0.9749348305594546,1.0,0.6823380815381377
1,$Average$,3707,3,109,20,3839,0.9735629881834569,0.8432666060054596,0.7169087825381609
2,$Average$,497,23,22,113,655,0.9682730923694779,0.11272397369017918,0.9364015923876106
3,$Average$,120,32,16,120,288,0.9659160073037127,0.026905829596412557,0.9706422018348624
4,$Average$,63,34,11,122,230,0.9655812036273702,0.013885827639409301,0.9760416666666666
5,$Average$,40,45,4,125,214,0.9622395833333334,0.00836645053336122,0.9764369081700066
6,$u_{SCF}$,4607,0,90,0,4697,0.9810725552050473,0.9941735002157963,0.6651457902616382
7,$u_{SCF}$,3732,5,77,13,3827,0.9800210304942166,0.8053517479499352,0.7089069749752795
8,$u_{SCF}$,752,25,27,63,867,0.9758149316508938,0.16227880880448856,0.9145560264117474
9,$u_{SCF}$,306,37,21,69,433,0.9732912723449001,0.0660336642209754,0.9553101455258541
10,$u_{SCF}$,190,50,16,74,330,0.9705573080967402,0.041001294777729826,0.9654811715481172
11,$u_{SCF}$,66,121,12,78,277,0.9556256572029442,0.014242555028053518,0.9704217832354511
