,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,4157,0,75,0,4232,0.9835056080932483,0.9940219990435198,0.6788099574984823
1,$u_{SCF}$,3390,4,65,10,3469,0.9826259071915548,0.8106169296987088,0.7203546956872229
2,$u_{SCF}$,684,22,23,52,781,0.9786672531339344,0.16355810616929697,0.9193265158558
3,$u_{SCF}$,281,32,18,57,388,0.9764680008797009,0.06719273075083693,0.9581355200690548
4,$u_{SCF}$,176,43,14,61,294,0.974048823400044,0.042085126733620276,0.9678758741258742
5,$u_{SCF}$,59,105,11,64,239,0.9604134594237959,0.014108082257293162,0.9733645380586203
6,$u_{power} + u_{SCF}$,3774,0,93,0,3867,0.9812310797174572,1.0,0.7154734750938121
7,$u_{power} + u_{SCF}$,3209,3,76,11,3299,0.9818181818181818,0.8491664461497751,0.7466011214378985
8,$u_{power} + u_{SCF}$,395,13,19,80,507,0.9772265148434323,0.1036473366570454,0.9498962348058108
9,$u_{power} + u_{SCF}$,119,18,14,70,221,0.9789081885856079,0.03056768558951965,0.9771906285478378
10,$u_{power} + u_{SCF}$,64,26,11,68,169,0.9779596977329975,0.01614123581336696,0.9821861494676928
11,$u_{power} + u_{SCF}$,43,31,8,65,147,0.9769350188511865,0.01018957345971564,0.9835882549960925
