,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,388,22,19,46,475,0.9794277606999291,0.10718232044198896,0.9457700650759219
1,$u_{SCF}$,203,29,14,51,297,0.9777725230550958,0.05607734806629834,0.9653320882455936
2,$u_{SCF}$,39,133,8,57,237,0.9531804209032868,0.010773480662983425,0.9714423424508978
3,$u_{SCF}$,30,287,6,59,382,0.9167651927169543,0.008287292817679558,0.9530481809242871
4,$u_{vMF}$,134,11,15,87,247,0.9768347683476835,0.04510265903736116,0.97473662677713
5,$u_{vMF}$,56,11,8,92,167,0.9767295597484277,0.01818772328678142,0.9823932525039536
6,$u_{vMF}$,34,17,1,107,159,0.9697848682620256,0.009159482758620689,0.9805694732983014
7,$u_{vMF}$,20,106,0,138,264,0.9099963113242346,0.003892565200467108,0.9492112350904194
8,$u_{power}$,124,10,14,90,238,0.9765865680837954,0.04161073825503356,0.9755847353303242
9,$u_{power}$,56,11,6,91,164,0.9772870662460568,0.01809954751131222,0.9826601818566293
10,$u_{power}$,34,20,1,113,168,0.9670680756942738,0.008994708994708995,0.9790992784274696
11,$u_{power}$,13,59,0,130,202,0.9346246973365617,0.0026220250100847118,0.9639671780235461
12,$u_{baseline}$,134,10,15,88,247,0.9767967145790555,0.04498153742866734,0.9746952156541338
13,$u_{baseline}$,56,10,9,94,169,0.9762804366078925,0.01815235008103728,0.9821560553267871
14,$u_{baseline}$,34,17,4,108,163,0.9688255195746738,0.009161950956615468,0.9800757853563135
15,$u_{baseline}$,2,689,0,148,839,0.6817490494296577,0.0003832151753209427,0.8103954802259886
16,$u_{vMF} + u_{SCF}$,145,10,14,62,231,0.9822570662265319,0.04830113257828115,0.976314980006152
17,$u_{vMF} + u_{SCF}$,69,17,10,50,146,0.9829306140545334,0.02067106051527861,0.9838029731528735
18,$u_{vMF} + u_{SCF}$,32,91,8,54,185,0.9634583233818963,0.008738394320043691,0.9775839088816187
19,$u_{vMF} + u_{SCF}$,27,236,5,59,327,0.9280057595392368,0.007332971211298208,0.9594343133606252
20,$u_{power} + u_{SCF}$,140,9,14,55,218,0.9837871544377468,0.04608294930875576,0.9774886410574143
21,$u_{power} + u_{SCF}$,60,13,10,51,134,0.9838533711542657,0.01837109614206981,0.9853583916083916
22,$u_{power} + u_{SCF}$,31,33,2,55,121,0.9780166096726918,0.00825565912117177,0.9851150202976997
23,$u_{power} + u_{SCF}$,26,114,0,64,204,0.9523171711759979,0.006316812439261419,0.9721082854799016
24,$u_{baseline} + u_{SCF}$,146,10,15,73,244,0.9798021434460017,0.04871538204871538,0.9749794913863823
25,$u_{baseline} + u_{SCF}$,57,10,11,70,148,0.9808057371862476,0.01833976833976834,0.9843353090601186
26,$u_{baseline} + u_{SCF}$,34,16,5,73,128,0.9771844660194174,0.009117725931885224,0.9843520782396087
27,$u_{baseline} + u_{SCF}$,2,659,0,148,809,0.6933890577507599,0.00038336208548974505,0.8185691859161247
