,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,418,22,19,50,509,0.9793275783734666,0.10753794700282994,0.9442558317818421
1,$u_{SCF}$,218,30,14,55,317,0.977510222626079,0.056084383843581165,0.9644738316709627
2,$u_{SCF}$,41,143,8,61,253,0.9518400726942299,0.010547980447646,0.9706938491833662
3,$u_{SCF}$,32,308,6,63,409,0.9143571104043616,0.008232570105479805,0.9516491311029673
4,$u_{vMF}$,162,12,16,98,288,0.9742857142857143,0.047801711419297725,0.9707198047986987
5,$u_{vMF}$,59,15,10,100,184,0.9739529068555949,0.0169054441260745,0.980696600923206
6,$u_{vMF}$,34,23,1,120,178,0.9658038470672049,0.008337420304070623,0.9785851780558229
7,$u_{vMF}$,22,107,0,138,267,0.9220737913486005,0.004275996112730806,0.9559769167353669
8,$u_{power}$,149,13,15,98,275,0.9742594484167518,0.043901001767825576,0.9719759502700499
9,$u_{power}$,57,15,8,101,181,0.9741181381757462,0.016295025728987993,0.9809774040987913
10,$u_{power}$,34,27,1,121,183,0.9641223212135805,0.008220502901353965,0.9776584055670858
11,$u_{power}$,19,78,0,136,233,0.9334783960211377,0.003746056782334385,0.9626542715178714
12,$u_{baseline}$,160,14,16,96,286,0.9742699612007352,0.04716981132075472,0.9708994708994709
13,$u_{baseline}$,57,15,10,101,183,0.9737281067556297,0.016318350987689665,0.9807833665861598
14,$u_{baseline}$,34,23,5,120,182,0.9648622981956315,0.008339465293107678,0.9780986762936221
15,$u_{baseline}$,3,794,0,148,945,0.6927592954990215,0.0005743825387708214,0.8180242634315424
16,$u_{vMF} + u_{SCF}$,165,12,15,84,276,0.9772634166325277,0.04842970355151159,0.9718883683031168
17,$u_{vMF} + u_{SCF}$,74,21,12,61,168,0.9797544690932587,0.02029621503017005,0.9818691992229657
18,$u_{vMF} + u_{SCF}$,35,100,8,62,205,0.9608835710998619,0.00887648998224702,0.976043005726306
19,$u_{vMF} + u_{SCF}$,30,262,5,68,365,0.9226327944572749,0.007577671129072998,0.9563135846798325
20,$u_{power} + u_{SCF}$,155,11,14,76,256,0.9792437320180847,0.04528191644756062,0.9738401798487636
21,$u_{power} + u_{SCF}$,67,15,10,63,155,0.981272611193871,0.018662952646239555,0.9834701930254879
22,$u_{power} + u_{SCF}$,36,38,2,60,136,0.976303317535545,0.008847382649299582,0.9837631327602675
23,$u_{power} + u_{SCF}$,30,130,0,73,233,0.9473820632452048,0.006770480704129994,0.9691104335145169
24,$u_{baseline} + u_{SCF}$,171,11,15,84,281,0.9774312679524005,0.05007320644216691,0.9713528392292793
25,$u_{baseline} + u_{SCF}$,58,12,12,85,167,0.9771727748691099,0.016505406943653957,0.9824192020212654
26,$u_{baseline} + u_{SCF}$,35,25,5,90,155,0.9714625445897741,0.008570029382957884,0.9813813813813814
27,$u_{baseline} + u_{SCF}$,5,764,0,148,917,0.702446982055465,0.0009571209800918836,0.8244304039823857
