,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,424,25,20,54,523,0.977921498661909,0.1053416149068323,0.9437210803830841
1,$u_{SCF}$,221,34,15,59,329,0.975914362176628,0.05490683229813664,0.9637705098557429
2,$u_{SCF}$,43,151,8,66,268,0.949821587867975,0.010683229813664596,0.9694969269292054
3,$u_{SCF}$,34,326,6,68,434,0.9107939339875112,0.0084472049689441,0.9495466170657986
4,$u_{vMF}$,174,15,16,102,307,0.97293997965412,0.048414023372287146,0.9688987944483841
5,$u_{vMF}$,61,17,10,107,195,0.972210700953961,0.01654461621914836,0.9796259534008984
6,$u_{vMF}$,36,29,1,122,188,0.9642437073629734,0.008454673555659934,0.9775816837586454
7,$u_{vMF}$,25,107,0,138,270,0.9269964243146603,0.004851542790607413,0.9584103512014788
8,$u_{power}$,166,15,16,101,298,0.9730996535561443,0.04608550805108273,0.9697400487408611
9,$u_{power}$,60,17,9,108,194,0.9721645201495638,0.016238159675236806,0.9796943688507432
10,$u_{power}$,34,31,1,122,188,0.9633420614139491,0.007892293407613741,0.9773001690412944
11,$u_{power}$,22,97,0,137,256,0.9308919078558772,0.004294358774155768,0.9609756097560975
12,$u_{baseline}$,178,15,17,101,311,0.9729013854930725,0.04943071369064149,0.9684616164689179
13,$u_{baseline}$,60,17,12,106,195,0.9719917012448133,0.01626457034426674,0.9796131730266597
14,$u_{baseline}$,36,29,5,122,192,0.9633458646616542,0.00846461321420174,0.977121067683508
15,$u_{baseline}$,6,843,0,149,998,0.697837343892781,0.001148105625717566,0.821146953405018
16,$u_{vMF} + u_{SCF}$,174,14,15,97,300,0.9743066884176182,0.04826629680998613,0.9695616883116883
17,$u_{vMF} + u_{SCF}$,76,21,12,65,174,0.9791578051892812,0.0199632256369845,0.9814538477936474
18,$u_{vMF} + u_{SCF}$,38,102,8,63,211,0.9607442704787837,0.009263773768893223,0.9756884433690517
19,$u_{vMF} + u_{SCF}$,33,270,5,69,377,0.9216043755697356,0.008007765105556904,0.9554636739515654
20,$u_{power} + u_{SCF}$,166,14,15,88,283,0.976063829787234,0.04584368958851146,0.9711959287531807
21,$u_{power} + u_{SCF}$,70,20,11,70,171,0.9787368421052631,0.0186219739292365,0.9819410708628156
22,$u_{power} + u_{SCF}$,39,43,2,63,147,0.9748075577326802,0.009237328280435813,0.9827160493827161
23,$u_{power} + u_{SCF}$,30,137,0,79,246,0.944912012241775,0.006538796861377506,0.9678683385579937
24,$u_{baseline} + u_{SCF}$,181,12,15,93,301,0.9754701553556827,0.05004147083218136,0.9694261046216353
25,$u_{baseline} + u_{SCF}$,62,14,12,91,179,0.9755894012100981,0.016684607104413347,0.9812191795194627
26,$u_{baseline} + u_{SCF}$,35,26,5,97,163,0.9699177438307873,0.008227550540667606,0.9806344303195913
27,$u_{baseline} + u_{SCF}$,5,831,0,149,985,0.7016742770167428,0.0009571209800918836,0.8239499553172476
