,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,352,20,17,39,428,0.9808177688036346,0.10911345319280844,0.9478048780487806
1,$u_{SCF}$,186,26,13,43,268,0.9793033821302373,0.05765654060756355,0.9666168410563029
2,$u_{SCF}$,35,115,7,49,206,0.9568399798081777,0.010849349039057656,0.9735490498202364
3,$u_{SCF}$,26,246,5,51,328,0.9237758707723372,0.008059516429014259,0.9571129707112971
4,$u_{vMF}$,110,7,11,64,192,0.9830262885530946,0.04666949512091642,0.9801857585139319
5,$u_{vMF}$,54,7,7,69,137,0.9824152542372881,0.02188006482982172,0.9854425672085857
6,$u_{vMF}$,34,11,1,96,142,0.973300370828183,0.010817690104995227,0.9822854291417166
7,$u_{vMF}$,17,95,0,137,249,0.8879227053140096,0.0033216100039077765,0.93656050955414
8,$u_{power}$,95,7,10,65,177,0.9829946080464538,0.04015215553677092,0.9816713264989128
9,$u_{power}$,53,7,6,69,135,0.982586536419622,0.021379588543767647,0.9856214719352434
10,$u_{power}$,30,12,0,98,140,0.972102460055795,0.009244992295839754,0.9820650781450168
11,$u_{power}$,6,44,0,125,175,0.931104769669792,0.0012671594508975714,0.9631035209782838
12,$u_{baseline}$,105,7,14,62,188,0.982787225217752,0.04437869822485207,0.9805503827850196
13,$u_{baseline}$,53,7,9,72,141,0.9813440746237015,0.021448806151355727,0.984998404085541
14,$u_{baseline}$,34,11,3,95,143,0.9730131220599159,0.010797078437599238,0.9821317006122704
15,$u_{baseline}$,1,583,0,148,732,0.6293103448275862,0.00019171779141104295,0.7722464219041691
16,$u_{vMF} + u_{SCF}$,125,7,14,38,184,0.9876569037656904,0.05191029900332226,0.9808851028464576
17,$u_{vMF} + u_{SCF}$,56,13,10,46,125,0.9839870039452309,0.019451198332754428,0.9854735618826264
18,$u_{vMF} + u_{SCF}$,28,77,7,46,158,0.9668282725184996,0.008565310492505354,0.9795760082730093
19,$u_{vMF} + u_{SCF}$,23,201,4,51,279,0.934375801076647,0.0069972619409796166,0.9631391200951248
20,$u_{power} + u_{SCF}$,126,9,12,41,188,0.9867322918895785,0.05009940357852883,0.9800212539851222
21,$u_{power} + u_{SCF}$,53,11,9,45,118,0.9852104664391353,0.018976011457214465,0.986557302346776
22,$u_{power} + u_{SCF}$,25,28,2,48,103,0.9797927461139896,0.007512019230769231,0.986565801486892
23,$u_{power} + u_{SCF}$,20,95,0,55,170,0.9575070821529745,0.005467468562055768,0.9754689754689755
24,$u_{baseline} + u_{SCF}$,111,7,13,50,181,0.9854348730753225,0.04659949622166247,0.9812493525328913
25,$u_{baseline} + u_{SCF}$,54,9,9,51,123,0.9852721451440768,0.021574111066719935,0.986851950828434
26,$u_{baseline} + u_{SCF}$,32,9,4,54,99,0.9833829365079365,0.010139416983523447,0.9876696973471166
27,$u_{baseline} + u_{SCF}$,0,536,0,148,684,0.6534954407294833,0.0,0.7904411764705882
