,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,453,28,23,54,558,0.9772481040086674,0.10452238117212737,0.941741490916684
1,$u_{SCF}$,234,39,16,61,350,0.9748645720476706,0.05399169358560221,0.9625588361146769
2,$u_{SCF}$,49,165,8,69,291,0.9475622968580715,0.011305952930318412,0.9677990483567557
3,$u_{SCF}$,40,359,6,71,476,0.9055254604550379,0.009229349330872173,0.9461172741679873
4,$u_{vMF}$,208,22,16,113,359,0.9694455685957103,0.05190915897179935,0.9638869329041345
5,$u_{vMF}$,72,23,11,120,226,0.9682866556836903,0.01759100903982409,0.9765316718587748
6,$u_{vMF}$,37,35,1,124,197,0.963302752293578,0.008062758770974069,0.9770850296615099
7,$u_{vMF}$,27,124,0,139,290,0.9302757158006363,0.005215375700212479,0.9603174603174603
8,$u_{power}$,200,22,16,114,352,0.9692307692307692,0.049887752556747315,0.9645447219983885
9,$u_{power}$,67,24,10,120,221,0.9682605111294311,0.016353429338540396,0.9770198606634085
10,$u_{power}$,36,38,1,125,200,0.9619224518226144,0.007755277897457992,0.9764317699740749
11,$u_{power}$,27,146,0,140,313,0.9237942978950173,0.005196304849884526,0.9568097143645646
12,$u_{baseline}$,217,19,17,112,365,0.9700283515593358,0.05410122164048865,0.963298139768728
13,$u_{baseline}$,72,23,12,120,227,0.9680478251906823,0.017569546120058566,0.9764008732716498
14,$u_{baseline}$,37,35,5,124,201,0.9623853211009175,0.008062758770974069,0.9766088676829977
15,$u_{baseline}$,12,964,0,150,1126,0.7002152852529602,0.0022931396904261416,0.8221169036334914
16,$u_{vMF} + u_{SCF}$,208,20,16,110,354,0.9704273850516508,0.0518444666001994,0.9643719806763286
17,$u_{vMF} + u_{SCF}$,83,26,12,80,201,0.9754677754677755,0.020053152935491664,0.9790297339593115
18,$u_{vMF} + u_{SCF}$,43,114,9,70,236,0.957507705856451,0.009757204447469935,0.9735840608909784
19,$u_{vMF} + u_{SCF}$,39,301,5,75,420,0.9158383035122598,0.008819538670284939,0.9517906336088154
20,$u_{power} + u_{SCF}$,200,19,16,109,344,0.970785149117468,0.04975124378109453,0.9653015937058705
21,$u_{power} + u_{SCF}$,74,24,11,87,196,0.9747045407422766,0.01793504604944256,0.9795790789747864
22,$u_{power} + u_{SCF}$,43,55,2,75,175,0.9700883752549286,0.009479717813051146,0.9799702415016596
23,$u_{power} + u_{SCF}$,30,165,0,97,292,0.9356581532416502,0.006151322534344884,0.9630940343781598
24,$u_{baseline} + u_{SCF}$,219,17,17,104,357,0.9719569193253403,0.054369414101290967,0.9640229769223018
25,$u_{baseline} + u_{SCF}$,75,21,12,105,213,0.9714581178903826,0.018230432668935342,0.9778286665972727
26,$u_{baseline} + u_{SCF}$,36,34,5,106,181,0.9666206261510129,0.007817589576547232,0.9789019699265648
27,$u_{baseline} + u_{SCF}$,12,952,0,150,1114,0.7034445640473628,0.0022931396904261416,0.8243456322926522
