,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,510,34,25,93,662,0.9693362921121647,0.10015710919088766,0.9355529595015577
1,$u_{SCF}$,253,54,18,100,425,0.9653015937058704,0.049685781618224664,0.9574787393696848
2,$u_{SCF}$,52,220,9,109,390,0.9318135969336292,0.01021209740769835,0.9594931449937683
3,$u_{SCF}$,43,472,6,112,633,0.8809763970143232,0.008444619010212097,0.9324223337247785
4,$u_{vMF}$,433,37,24,125,619,0.9628223066160304,0.08581054300435989,0.9396274261191847
5,$u_{vMF}$,180,56,16,129,381,0.9596628537025887,0.035530990919857876,0.9616892911010557
6,$u_{vMF}$,45,158,9,141,353,0.9361658031088083,0.008614088820826952,0.9623948013209759
7,$u_{vMF}$,39,386,5,146,576,0.8881483024369923,0.00743140243902439,0.9367311072056239
8,$u_{power}$,432,37,23,125,617,0.963,0.0855614973262032,0.9397872548062848
9,$u_{power}$,180,55,16,129,380,0.9598554797270172,0.035523978685612786,0.9617860016090105
10,$u_{power}$,45,163,9,140,357,0.9353635798632691,0.008617387973956338,0.9619686800894854
11,$u_{power}$,39,389,5,146,579,0.8875234326182045,0.00743140243902439,0.9363806175145587
12,$u_{baseline}$,434,37,24,125,620,0.9628,0.08595761536938007,0.9395003903200624
13,$u_{baseline}$,186,56,17,129,388,0.9594458943987151,0.0367008681925809,0.9609893424492258
14,$u_{baseline}$,45,158,9,141,353,0.9361658031088083,0.008614088820826952,0.9623948013209759
15,$u_{baseline}$,24,1406,0,153,1583,0.6750729470612755,0.0045705579889544845,0.8036223793573998
16,$u_{vMF} + u_{SCF}$,434,37,24,125,620,0.9628074385122976,0.08597464342313788,0.9395121951219513
17,$u_{vMF} + u_{SCF}$,181,54,16,129,380,0.9600401606425703,0.03570724008680213,0.9617783142224904
18,$u_{vMF} + u_{SCF}$,45,177,9,120,351,0.9370111156854672,0.008668849932575612,0.9628767847699631
19,$u_{vMF} + u_{SCF}$,41,422,5,124,592,0.8864151721294579,0.007887649095806078,0.9355961705831156
20,$u_{power} + u_{SCF}$,431,37,23,125,616,0.962992598519704,0.08534653465346535,0.9398672393596252
21,$u_{power} + u_{SCF}$,181,54,16,129,380,0.9600481830957639,0.03571428571428571,0.9617860016090105
22,$u_{power} + u_{SCF}$,45,163,9,140,357,0.9353635798632691,0.008617387973956338,0.9619686800894854
23,$u_{power} + u_{SCF}$,39,388,5,146,578,0.8877317225578004,0.00743140243902439,0.936497473082839
24,$u_{baseline} + u_{SCF}$,440,36,24,125,625,0.9629851940776311,0.08711146307661849,0.9390303385035607
25,$u_{baseline} + u_{SCF}$,189,51,16,129,385,0.9605713136189902,0.03721937770775896,0.961248112732763
26,$u_{baseline} + u_{SCF}$,45,158,9,141,353,0.9361922519163042,0.008617387973956338,0.9624108188691299
27,$u_{baseline} + u_{SCF}$,24,1406,0,153,1583,0.6750729470612755,0.0045705579889544845,0.8036223793573998
