,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,362,21,17,39,439,0.9810204584668474,0.10799522673031026,0.947731872842005
1,$u_{SCF}$,191,27,13,43,274,0.9795415331525757,0.056980906921241053,0.9666747749939189
2,$u_{SCF}$,36,120,7,49,212,0.9566181907813656,0.010739856801909307,0.9734135941810885
3,$u_{SCF}$,27,259,5,51,342,0.9223564210007394,0.008054892601431982,0.9562995144390494
4,$u_{vMF}$,116,7,14,72,209,0.9808089145687164,0.04525946156847444,0.9784868759650026
5,$u_{vMF}$,55,9,8,79,151,0.979746835443038,0.020606968902210566,0.984002542642229
6,$u_{vMF}$,34,14,1,99,148,0.9720314033366045,0.0102010201020102,0.9816650148662042
7,$u_{vMF}$,19,101,0,138,258,0.8953590192644484,0.0037073170731707315,0.9406623735050598
8,$u_{power}$,103,7,10,70,190,0.9819913061477955,0.03995345228859581,0.9803678445959909
9,$u_{power}$,53,9,6,78,146,0.9803216250528989,0.01975400670890794,0.9844878878028048
10,$u_{power}$,31,15,1,102,149,0.9703368526897939,0.009035266686097347,0.981064938365739
11,$u_{power}$,9,49,0,127,185,0.931756494765413,0.0018633540372670807,0.9629332799038269
12,$u_{baseline}$,112,7,14,74,207,0.9803921568627451,0.0436817472698908,0.9786751828577315
13,$u_{baseline}$,53,9,9,81,152,0.9790918690601901,0.019820493642483172,0.9838709677419355
14,$u_{baseline}$,34,14,4,97,149,0.9717652835747607,0.010191846522781775,0.9815251084934904
15,$u_{baseline}$,2,608,0,148,758,0.6551094890510949,0.00038336208548974505,0.7911845730027548
16,$u_{vMF} + u_{SCF}$,131,8,14,42,195,0.9866777685262281,0.050287907869481764,0.9798449612403101
17,$u_{vMF} + u_{SCF}$,59,13,10,48,130,0.9838047445255474,0.019504132231404958,0.9851530379168572
18,$u_{vMF} + u_{SCF}$,30,81,7,51,169,0.9654486701466567,0.008860011813349085,0.9787073201461508
19,$u_{vMF} + u_{SCF}$,25,212,4,56,297,0.9320169957510622,0.007335680751173709,0.9617021276595745
20,$u_{power} + u_{SCF}$,134,9,13,46,202,0.9855993223210504,0.049869743208038705,0.9787592008412198
21,$u_{power} + u_{SCF}$,57,11,9,46,123,0.9851918330715728,0.019308943089430895,0.9861875350926447
22,$u_{power} + u_{SCF}$,27,29,2,49,107,0.9797005836082212,0.007785467128027681,0.9863328649891429
23,$u_{power} + u_{SCF}$,22,101,0,58,181,0.9558823529411765,0.005781865965834429,0.9744024890397398
24,$u_{baseline} + u_{SCF}$,123,8,13,53,197,0.9846409298464093,0.047472018525665766,0.9796592669075891
25,$u_{baseline} + u_{SCF}$,54,9,9,53,125,0.9848904022132369,0.01992619926199262,0.9866751945421598
26,$u_{baseline} + u_{SCF}$,32,12,4,57,105,0.9820108427796944,0.009549388242315727,0.9869969040247677
27,$u_{baseline} + u_{SCF}$,1,569,0,148,718,0.6730506155950753,0.00019171779141104295,0.8043596730245233
