,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,388,0,0,0,388,1.0,0.10577971646673937,0.7117384843982169
1,$u_{SCF}$,185,0,0,0,185,1.0,0.05043620501635769,0.8381452318460193
2,$u_{SCF}$,37,0,0,0,37,1.0,0.010087241003271538,0.9628140703517588
3,$u_{SCF}$,18,0,0,0,18,1.0,0.004907306434023991,0.9815573770491803
4,$u_{vMF}$,134,0,0,0,134,1.0,0.03788521345773254,0.9010339734121123
5,$u_{vMF}$,32,0,0,0,32,1.0,0.009047215154085382,0.9744408945686901
6,$u_{vMF}$,7,0,0,0,7,1.0,0.0019790783149561775,0.9942950285248573
7,$u_{vMF}$,6,0,0,0,6,1.0,0.0016963528413910093,0.9951060358890702
8,$u_{power}$,116,0,0,0,116,1.0,0.032796154933559515,0.9131736526946108
9,$u_{power}$,27,0,0,0,27,1.0,0.007633587786259542,0.9783480352846833
10,$u_{power}$,6,0,0,0,6,1.0,0.0016963528413910093,0.9951060358890702
11,$u_{power}$,6,0,0,0,6,1.0,0.0016958733747880158,0.9950980392156863
12,$u_{baseline}$,120,0,0,0,120,1.0,0.033927056827820185,0.9104477611940298
13,$u_{baseline}$,29,0,0,0,29,1.0,0.008199038733389879,0.9767814251401121
14,$u_{baseline}$,6,0,0,0,6,1.0,0.0016963528413910093,0.9951060358890702
15,$u_{baseline}$,6,0,0,0,6,1.0,0.0016958733747880158,0.9950980392156863
16,$u_{vMF} + u_{SCF}$,136,0,0,0,136,1.0,0.038450664404862875,0.8997050147492626
17,$u_{vMF} + u_{SCF}$,33,0,0,0,33,1.0,0.009329940627650551,0.9736632083000798
18,$u_{vMF} + u_{SCF}$,8,0,0,0,8,1.0,0.0022105554020447637,0.9924812030075187
19,$u_{vMF} + u_{SCF}$,5,0,0,0,5,1.0,0.0013713658804168952,0.9950347567030785
20,$u_{power} + u_{SCF}$,116,0,0,0,116,1.0,0.032796154933559515,0.9131736526946108
21,$u_{power} + u_{SCF}$,29,0,0,0,29,1.0,0.008199038733389879,0.9767814251401121
22,$u_{power} + u_{SCF}$,7,0,0,0,7,1.0,0.001954761239877129,0.993854258121159
23,$u_{power} + u_{SCF}$,6,0,0,0,6,1.0,0.0016671297582661851,0.9945553539019965
24,$u_{baseline} + u_{SCF}$,121,0,0,0,121,1.0,0.034209782301385355,0.9097688292319164
25,$u_{baseline} + u_{SCF}$,27,0,0,0,27,1.0,0.007633587786259542,0.9783480352846833
26,$u_{baseline} + u_{SCF}$,7,0,0,0,7,1.0,0.0019790783149561775,0.9942950285248573
27,$u_{baseline} + u_{SCF}$,6,0,0,0,6,1.0,0.0016953941791466515,0.9950900163666121
