,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,500,0,0,0,500,1.0,0.10175010175010175,0.701670644391408
1,$u_{SCF}$,250,0,0,0,250,1.0,0.05087505087505088,0.8246844319775596
2,$u_{SCF}$,50,0,0,0,50,1.0,0.010175010175010175,0.9592169657422512
3,$u_{SCF}$,24,0,0,0,24,1.0,0.004884004884004884,0.98
4,$u_{vMF}$,397,0,0,0,397,1.0,0.08115290269828292,0.7544836116264688
5,$u_{vMF}$,171,0,0,0,171,1.0,0.034955028618152084,0.8770668583752697
6,$u_{vMF}$,15,0,0,0,15,1.0,0.003066230580539657,0.9878542510121457
7,$u_{vMF}$,7,0,0,0,7,1.0,0.0014309076042518397,0.9942950285248573
8,$u_{power}$,392,0,0,0,392,1.0,0.08013082583810302,0.7568238213399504
9,$u_{power}$,169,0,0,0,169,1.0,0.03454619787408013,0.8783297336213103
10,$u_{power}$,15,0,0,0,15,1.0,0.003066230580539657,0.9878542510121457
11,$u_{power}$,7,0,0,0,7,1.0,0.0014309076042518397,0.9942950285248573
12,$u_{baseline}$,400,0,0,0,400,1.0,0.08176614881439084,0.7530864197530863
13,$u_{baseline}$,167,0,0,0,167,1.0,0.03413736713000818,0.8795962509012257
14,$u_{baseline}$,16,0,0,0,16,1.0,0.003270645952575634,0.9870550161812297
15,$u_{baseline}$,7,0,0,0,7,1.0,0.0014309076042518397,0.9942950285248573
16,$u_{vMF} + u_{SCF}$,394,0,0,0,394,1.0,0.08053965658217498,0.7558859975216853
17,$u_{vMF} + u_{SCF}$,171,0,0,0,171,1.0,0.034955028618152084,0.8770668583752697
18,$u_{vMF} + u_{SCF}$,16,0,0,0,16,1.0,0.003270645952575634,0.9870550161812297
19,$u_{vMF} + u_{SCF}$,9,0,0,0,9,1.0,0.001838235294117647,0.9926289926289926
20,$u_{power} + u_{SCF}$,393,0,0,0,393,1.0,0.080335241210139,0.7563546187228766
21,$u_{power} + u_{SCF}$,170,0,0,0,170,1.0,0.034750613246116106,0.8776978417266188
22,$u_{power} + u_{SCF}$,15,0,0,0,15,1.0,0.003066230580539657,0.9878542510121457
23,$u_{power} + u_{SCF}$,7,0,0,0,7,1.0,0.0014309076042518397,0.9942950285248573
24,$u_{baseline} + u_{SCF}$,399,0,0,0,399,1.0,0.08156173344235486,0.7535515750463249
25,$u_{baseline} + u_{SCF}$,167,0,0,0,167,1.0,0.03413736713000818,0.8795962509012257
26,$u_{baseline} + u_{SCF}$,16,0,0,0,16,1.0,0.003270645952575634,0.9870550161812297
27,$u_{baseline} + u_{SCF}$,7,0,0,0,7,1.0,0.0014309076042518397,0.9942950285248573
