,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,506,0,0,0,506,1.0,0.10069651741293532,0.7033997655334114
1,$u_{SCF}$,253,0,0,0,253,1.0,0.05034825870646766,0.8258774948382657
2,$u_{SCF}$,50,0,0,0,50,1.0,0.009950248756218905,0.9600000000000001
3,$u_{SCF}$,24,0,0,0,24,1.0,0.004776119402985075,0.9803921568627451
4,$u_{vMF}$,452,0,0,0,452,1.0,0.09012961116650049,0.7296650717703349
5,$u_{vMF}$,210,0,0,0,210,1.0,0.04187437686939183,0.8531468531468531
6,$u_{vMF}$,21,0,0,0,21,1.0,0.004187437686939182,0.983078162771958
7,$u_{vMF}$,9,0,0,0,9,1.0,0.001794616151545364,0.9926769731489016
8,$u_{power}$,453,0,0,0,453,1.0,0.09032901296111664,0.7292289300657501
9,$u_{power}$,208,0,0,0,208,1.0,0.04147557328015952,0.8543417366946778
10,$u_{power}$,21,0,0,0,21,1.0,0.004187437686939182,0.983078162771958
11,$u_{power}$,9,0,0,0,9,1.0,0.001794616151545364,0.9926769731489016
12,$u_{baseline}$,454,0,0,0,454,1.0,0.0905284147557328,0.7287933094384708
13,$u_{baseline}$,209,0,0,0,209,1.0,0.041674975074775675,0.853743876836949
14,$u_{baseline}$,22,0,0,0,22,1.0,0.004386839481555334,0.9822866344605475
15,$u_{baseline}$,9,0,0,0,9,1.0,0.001794616151545364,0.9926769731489016
16,$u_{vMF} + u_{SCF}$,454,0,0,0,454,1.0,0.0905284147557328,0.7287933094384708
17,$u_{vMF} + u_{SCF}$,209,0,0,0,209,1.0,0.041674975074775675,0.853743876836949
18,$u_{vMF} + u_{SCF}$,21,0,0,0,21,1.0,0.004187437686939182,0.983078162771958
19,$u_{vMF} + u_{SCF}$,10,0,0,0,10,1.0,0.0019940179461615153,0.991869918699187
20,$u_{power} + u_{SCF}$,455,0,0,0,455,1.0,0.09072781655034895,0.728358208955224
21,$u_{power} + u_{SCF}$,209,0,0,0,209,1.0,0.041674975074775675,0.853743876836949
22,$u_{power} + u_{SCF}$,21,0,0,0,21,1.0,0.004187437686939182,0.983078162771958
23,$u_{power} + u_{SCF}$,9,0,0,0,9,1.0,0.001794616151545364,0.9926769731489016
24,$u_{baseline} + u_{SCF}$,455,0,0,0,455,1.0,0.09072781655034895,0.728358208955224
25,$u_{baseline} + u_{SCF}$,207,0,0,0,207,1.0,0.04127617148554337,0.8549404344779257
26,$u_{baseline} + u_{SCF}$,22,0,0,0,22,1.0,0.004386839481555334,0.9822866344605475
27,$u_{baseline} + u_{SCF}$,9,0,0,0,9,1.0,0.001794616151545364,0.9926769731489016
