,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,477,0,0,0,477,1.0,0.10168407589000213,0.7031736154324829
1,$u_{SCF}$,240,0,0,0,240,1.0,0.05116179918993818,0.8248175182481753
2,$u_{SCF}$,46,0,0,0,46,1.0,0.009806011511404818,0.9608843537414966
3,$u_{SCF}$,22,0,0,0,22,1.0,0.004689831592411,0.9809027777777778
4,$u_{vMF}$,308,0,0,0,308,1.0,0.06629358588032716,0.7984293193717277
5,$u_{vMF}$,121,0,0,0,121,1.0,0.026043908738699956,0.9097688292319164
6,$u_{vMF}$,9,0,0,0,9,1.0,0.0019371502367628067,0.9926769731489016
7,$u_{vMF}$,7,0,0,0,7,1.0,0.001506672406371072,0.9942950285248573
8,$u_{power}$,303,0,0,0,303,1.0,0.06521739130434782,0.8010505581089954
9,$u_{power}$,120,0,0,0,120,1.0,0.02582866982350409,0.9104477611940298
10,$u_{power}$,9,0,0,0,9,1.0,0.0019371502367628067,0.9926769731489016
11,$u_{power}$,7,0,0,0,7,1.0,0.001506672406371072,0.9942950285248573
12,$u_{baseline}$,301,0,0,0,301,1.0,0.0647869134739561,0.8021038790269559
13,$u_{baseline}$,115,0,0,0,115,1.0,0.024752475247524754,0.9138576779026217
14,$u_{baseline}$,9,0,0,0,9,1.0,0.0019371502367628067,0.9926769731489016
15,$u_{baseline}$,7,0,0,0,7,1.0,0.001506672406371072,0.9942950285248573
16,$u_{vMF} + u_{SCF}$,307,0,0,0,307,1.0,0.06607834696513129,0.7989521938441388
17,$u_{vMF} + u_{SCF}$,121,0,0,0,121,1.0,0.026043908738699956,0.9097688292319164
18,$u_{vMF} + u_{SCF}$,11,0,0,0,11,1.0,0.002363558229480017,0.9909465020576133
19,$u_{vMF} + u_{SCF}$,9,0,0,0,9,1.0,0.0019263698630136985,0.9923534409515719
20,$u_{power} + u_{SCF}$,302,0,0,0,302,1.0,0.06500215238915195,0.8015768725361367
21,$u_{power} + u_{SCF}$,120,0,0,0,120,1.0,0.02582866982350409,0.9104477611940298
22,$u_{power} + u_{SCF}$,9,0,0,0,9,1.0,0.0019371502367628067,0.9926769731489016
23,$u_{power} + u_{SCF}$,7,0,0,0,7,1.0,0.0015060240963855422,0.9942763695829926
24,$u_{baseline} + u_{SCF}$,303,0,0,0,303,1.0,0.06521739130434782,0.8010505581089954
25,$u_{baseline} + u_{SCF}$,115,0,0,0,115,1.0,0.024752475247524754,0.9138576779026217
26,$u_{baseline} + u_{SCF}$,9,0,0,0,9,1.0,0.0019371502367628067,0.9926769731489016
27,$u_{baseline} + u_{SCF}$,7,0,0,0,7,1.0,0.001506672406371072,0.9942950285248573
