,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,6811,2,85,2,6900,0.9886014344262295,0.9504605079542283,0.6911093204405049
1,$u_{SCF}$,2013,15,28,59,2115,0.9869364754098361,0.28090985207926317,0.87932903520283
2,$u_{SCF}$,749,29,15,72,865,0.9851434426229508,0.1045213508233324,0.9467659548279894
3,$u_{SCF}$,365,42,7,80,494,0.9834784836065574,0.050934970694948366,0.9688367398435529
4,$u_{SCF}$,70,107,3,84,264,0.9751536885245902,0.009768350544236673,0.9829589465530596
5,$u_{power} + u_{SCF}$,5427,1,138,1,5567,0.9852972064692291,0.9954145267791636,0.7711972380913239
6,$u_{power} + u_{SCF}$,1175,12,37,69,1293,0.9874880712543739,0.21197907270431174,0.9350871027662032
7,$u_{power} + u_{SCF}$,245,18,7,68,338,0.9899502917657229,0.04283216783216783,0.9818863879957127
8,$u_{power} + u_{SCF}$,84,22,4,67,177,0.9897248922770965,0.01418200236366706,0.9902172110761067
9,$u_{power} + u_{SCF}$,14,30,2,75,121,0.9870819751297839,0.002092362875504409,0.9926546469981182
