,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,8899,2,151,4,9056,0.9832193244976486,0.9470043630946047,0.670139141837255
1,$u_{SCF}$,2556,28,49,106,2739,0.9804403591278325,0.2720017026710652,0.8700972255157694
2,$u_{SCF}$,927,59,23,132,1141,0.9771269773407439,0.09864850484197084,0.9412612612612613
3,$u_{SCF}$,453,87,13,142,695,0.9741342454040188,0.04820687453442588,0.9632722084236116
4,$u_{SCF}$,90,199,4,151,444,0.9621633176571184,0.009577524741938917,0.9759323503902863
5,$u_{power} + u_{SCF}$,8790,2,229,3,9024,0.9757160647571607,0.9641329384666009,0.6757222940922812
6,$u_{power} + u_{SCF}$,2275,37,72,143,2527,0.9737773152965661,0.24882423712129498,0.8810431671609472
7,$u_{power} + u_{SCF}$,661,66,31,177,935,0.9713209127067197,0.07185563648222633,0.9520389843549628
8,$u_{power} + u_{SCF}$,273,82,15,191,561,0.96964586846543,0.029465731246627092,0.9704129529033279
9,$u_{power} + u_{SCF}$,24,133,3,202,362,0.9635028614620451,0.0025284450063211127,0.9801186291739894
