,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,8427,2,129,3,8561,0.9851424769930147,0.9474926917022712,0.6748699251832442
1,$u_{SCF}$,2431,24,44,88,2587,0.9827031821709724,0.27333033505734206,0.8726431349382169
2,$u_{SCF}$,900,47,21,111,1079,0.9801530103115644,0.10119181470654373,0.9424809424809425
3,$u_{SCF}$,441,70,12,120,643,0.9776028384521566,0.04958398920620643,0.964819171636483
4,$u_{SCF}$,88,160,4,128,380,0.967623905089256,0.0098943107713065,0.9786923853313895
5,$u_{power} + u_{SCF}$,8087,2,202,2,8293,0.9785506039150355,0.9732819833915032,0.6938609767802429
6,$u_{power} + u_{SCF}$,1942,29,63,123,2157,0.9775245661718587,0.23265844015814066,0.8965913993959441
7,$u_{power} + u_{SCF}$,490,56,25,157,728,0.974910394265233,0.05814643408093034,0.9621306699958385
8,$u_{power} + u_{SCF}$,171,55,6,163,395,0.9761321257325519,0.020051594746716698,0.97889619062884
9,$u_{power} + u_{SCF}$,19,73,3,145,240,0.9755206025697829,0.0021384355655599324,0.9865576341436093
