,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,7492,2,98,2,7594,0.9877712504495864,0.949195489674395,0.6845297441010304
1,$u_{SCF}$,2216,16,33,67,2332,0.9860927946289414,0.2807550994552135,0.8758385688425089
2,$u_{SCF}$,814,33,17,83,947,0.9840546697038725,0.10312935512479413,0.9454587340897311
3,$u_{SCF}$,403,51,9,91,554,0.9818966550773288,0.051057899404535666,0.9672847525687965
4,$u_{SCF}$,78,126,3,97,304,0.9729049274667306,0.009882174078297225,0.9816136446111043
5,$u_{power} + u_{SCF}$,6582,2,177,1,6762,0.9811912225705329,0.9876950780312125,0.7352595724688747
6,$u_{power} + u_{SCF}$,1432,18,46,85,1581,0.9842793838362524,0.21195973949082297,0.9218834922674045
7,$u_{power} + u_{SCF}$,298,34,9,102,443,0.9844870011768482,0.04326992885145927,0.9764949328805645
8,$u_{power} + u_{SCF}$,98,34,4,88,224,0.9863132739517706,0.013944223107569721,0.9878154917319408
9,$u_{power} + u_{SCF}$,16,39,2,88,145,0.9850486787204451,0.002103602419142782,0.9915417371521904
