,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,7036,2,87,2,7127,0.9886022044088176,0.949527665317139,0.6889538689826736
1,$u_{SCF}$,2089,15,29,60,2193,0.9869739478957916,0.28191632928475036,0.8778477134740712
2,$u_{SCF}$,772,31,15,74,892,0.9849699398797596,0.10418353576248313,0.9463297232250302
3,$u_{SCF}$,378,45,7,82,512,0.9832164328657315,0.05101214574898785,0.9684184554650876
4,$u_{SCF}$,74,113,3,86,276,0.9746993987975952,0.009986504723346829,0.9825757575757577
5,$u_{power} + u_{SCF}$,5814,1,152,1,5968,0.9838608258226786,0.9935064935064936,0.75881021661817
6,$u_{power} + u_{SCF}$,1249,13,41,76,1379,0.9862390176775696,0.21002185976122414,0.9310947883875481
7,$u_{power} + u_{SCF}$,255,21,7,78,361,0.9885751239491269,0.04169391759319817,0.9807003475006683
8,$u_{power} + u_{SCF}$,87,27,4,71,189,0.9888194672804999,0.013873385424972094,0.9896330426197136
9,$u_{power} + u_{SCF}$,14,33,2,77,126,0.9866825208085612,0.002004581901489118,0.992465016146394
