,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,9395,3,263,6,9667,0.9718717683557394,0.9467902851960093,0.6603660893089275
1,$u_{SCF}$,2711,40,107,162,3020,0.9680455015511893,0.27320366824549025,0.8610983350197775
2,$u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
3,$u_{SCF}$,495,117,40,229,881,0.9600827300930713,0.049884107628741306,0.9547020412360533
4,$u_{SCF}$,99,270,13,256,638,0.9442605997931748,0.009976821525748261,0.9662433862433862
5,$u_{power} + u_{SCF}$,9466,2,258,6,9732,0.9724922440537745,0.9539453794215459,0.6590049053959355
6,$u_{power} + u_{SCF}$,2659,43,103,160,2965,0.9683557394002068,0.2679633175450972,0.8633199649656571
7,$u_{power} + u_{SCF}$,942,92,59,205,1298,0.9631851085832471,0.09493096845711982,0.9348589782194118
8,$u_{power} + u_{SCF}$,476,139,43,225,883,0.9579110651499483,0.0479693641035977,0.9545056417126075
9,$u_{power} + u_{SCF}$,85,294,12,262,653,0.9412616339193381,0.008565957875642446,0.9653709497799227
