,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,7268,2,91,2,7363,0.9883649724433557,0.9501895672636946,0.6867208441475555
1,$u_{SCF}$,2160,15,31,62,2268,0.9867728107777097,0.28238985488299123,0.8766184310738766
2,$u_{SCF}$,796,31,15,78,920,0.9848132271892223,0.10406589096613937,0.9458887189742382
3,$u_{SCF}$,391,48,7,86,532,0.9827311696264543,0.051117793175578505,0.967913148371532
4,$u_{SCF}$,76,119,3,90,288,0.9740355174525414,0.009935939338475617,0.9822156354205261
5,$u_{power} + u_{SCF}$,6194,1,165,1,6361,0.9825240686479698,0.9897730904442313,0.7469668642348543
6,$u_{power} + u_{SCF}$,1329,15,43,81,1468,0.985308106965437,0.2091925074767826,0.9270087509944313
7,$u_{power} + u_{SCF}$,278,27,8,86,399,0.9869990329859246,0.042723221146457664,0.9787438069362314
8,$u_{power} + u_{SCF}$,92,31,4,81,208,0.9873472949389179,0.013842913030394222,0.9886413280908692
9,$u_{power} + u_{SCF}$,15,34,2,79,130,0.9865007630003522,0.00205620287868403,0.9923249498169795
