,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,6592,2,77,2,6673,0.9893812270582066,0.9517759168351141,0.6934350163090918
1,$u_{SCF}$,1950,14,24,55,2043,0.9878080755112743,0.2815477909327173,0.880617074738503
2,$u_{SCF}$,717,27,13,66,823,0.9861038280020975,0.1035229569737222,0.9481313417785341
3,$u_{SCF}$,351,39,6,73,469,0.9845306764551652,0.05067860236788911,0.9697204467686745
4,$u_{SCF}$,68,103,2,77,250,0.976140534871526,0.009818076812012706,0.9834896314885748
5,$u_{power} + u_{SCF}$,5031,1,129,1,5162,0.9862235776632664,0.997224975222993,0.7841792792039469
6,$u_{power} + u_{SCF}$,1090,10,31,55,1186,0.9897883203914477,0.21152726567048322,0.9400889068498686
7,$u_{power} + u_{SCF}$,228,16,6,57,307,0.9914316702819956,0.04274465691788527,0.9834848566356447
8,$u_{power} + u_{SCF}$,79,20,4,63,166,0.9903010033444816,0.01414756446991404,0.9907428061565916
9,$u_{power} + u_{SCF}$,12,27,2,70,111,0.9878765613519471,0.001878522229179712,0.9931671283471838
