,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,8188,2,118,3,8311,0.986114247008354,0.9482339316734221,0.6776308133897057
1,$u_{SCF}$,2374,21,39,82,2516,0.9839692932941974,0.2749276201505501,0.8738720673751754
2,$u_{SCF}$,874,42,19,102,1037,0.9815985549785504,0.10121598147075854,0.9437238834319206
3,$u_{SCF}$,430,63,10,111,614,0.9792278166629036,0.049797336421540245,0.965816724195524
4,$u_{SCF}$,85,147,4,117,353,0.9697448634003161,0.009843659525188187,0.9798665373866424
5,$u_{power} + u_{SCF}$,7730,2,196,2,7930,0.9791601542148588,0.9789766970618035,0.7032629845831462
6,$u_{power} + u_{SCF}$,1792,26,58,113,1989,0.9793565964581369,0.22540880503144653,0.9038247666940671
7,$u_{power} + u_{SCF}$,426,49,23,146,644,0.9769434161819144,0.05299825827320229,0.9663144680405901
8,$u_{power} + u_{SCF}$,147,48,5,141,341,0.9792268979548131,0.018027961736571008,0.9816971713810316
9,$u_{power} + u_{SCF}$,18,64,3,128,213,0.9782025486250838,0.002106002106002106,0.9879762912785774
