,models,auc,far
0,$u_{SCF}$,35.4,{SCF}$tau-0.217
1,$u_{SCF}$,12.02,{SCF}$tau-0.295
2,$u_{SCF}$,6.14,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,3.34,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,1.14,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,53.52,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,16.08,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,5.6,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,2.78,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,0.98,{SCF}$tau-0.41305037376834797
