,models,FAR={SCF}$tau-0.217,FAR={SCF}$tau-0.295,FAR={SCF}$tau-0.3316050800917002,FAR={SCF}$tau-0.3544668614198186,FAR={SCF}$tau-0.41305037376834797
0,$u_{SCF}$,0.2958,0.2951,0.2944,0.2937,0.2907
1,$u_{power} + u_{SCF}$,0.2943,0.2945,0.2943,0.2942,0.2932
