,models,FAR={SCF}$tau-0.217,FAR={SCF}$tau-0.295,FAR={SCF}$tau-0.3316050800917002,FAR={SCF}$tau-0.3544668614198186,FAR={SCF}$tau-0.41305037376834797
0,$u_{SCF}$,35.4,12.02,6.14,3.34,1.14
1,$u_{power} + u_{SCF}$,53.52,16.08,5.6,2.78,0.98
