,models,FAR={SCF}$tau-0.217,FAR={SCF}$tau-0.295,FAR={SCF}$tau-0.3316050800917002,FAR={SCF}$tau-0.3544668614198186,FAR={SCF}$tau-0.41305037376834797
0,$u_{SCF}$,0.2847,0.0832,0.0306,0.015,0.0029
1,$u_{power} + u_{SCF}$,0.2945,0.0678,0.0163,0.0061,0.0008
