,models,auc,far
0,$u_{SCF}$,0.62,{SCF}$tau-0.217
1,$u_{SCF}$,6.16,{SCF}$tau-0.295
2,$u_{SCF}$,12.62,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,18.3,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,44.16,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,0.44,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,6.68,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,12.42,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,15.02,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,23.32,{SCF}$tau-0.41305037376834797
