,models,FAR={SCF}$tau-0.217,FAR={SCF}$tau-0.295,FAR={SCF}$tau-0.3316050800917002,FAR={SCF}$tau-0.3544668614198186,FAR={SCF}$tau-0.41305037376834797
0,$u_{SCF}$,2359.56,720.32,297.84,176.9,104.4
1,$u_{power} + u_{SCF}$,2132.64,545.26,178.98,103.24,68.16
