,models,FAR={SCF}$tau-0.217,FAR={SCF}$tau-0.295,FAR={SCF}$tau-0.3316050800917002,FAR={SCF}$tau-0.3544668614198186,FAR={SCF}$tau-0.41305037376834797
0,$u_{SCF}$,2322.74,677.96,249.02,122.4,24.04
1,$u_{power} + u_{SCF}$,2078.14,493.0,125.4,49.22,6.68
