,models,auc,far
0,$u_{SCF}$,0.8,{SCF}$tau-0.217
1,$u_{SCF}$,24.18,{SCF}$tau-0.295
2,$u_{SCF}$,30.06,{SCF}$tau-0.3316050800917002
3,$u_{SCF}$,32.86,{SCF}$tau-0.3544668614198186
4,$u_{SCF}$,35.06,{SCF}$tau-0.41305037376834797
5,$u_{power} + u_{SCF}$,0.54,{SCF}$tau-0.217
6,$u_{power} + u_{SCF}$,29.5,{SCF}$tau-0.295
7,$u_{power} + u_{SCF}$,35.56,{SCF}$tau-0.3316050800917002
8,$u_{power} + u_{SCF}$,36.22,{SCF}$tau-0.3544668614198186
9,$u_{power} + u_{SCF}$,37.18,{SCF}$tau-0.41305037376834797
