,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
1,$u_{power}$,991,85,62,207,1345,0.9633919338159256,0.09986899123249017,0.9326725734594785
2,$u_{baseline}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
3,$u_{power} + u_{SCF}$,991,85,62,207,1345,0.9633919338159256,0.09986899123249017,0.9326725734594785
4,$u_{baseline} + u_{SCF}$,992,85,62,207,1346,0.9633919338159256,0.09996976720749773,0.9326258884773251
