,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,772,31,15,74,892,0.9849699398797596,0.10418353576248313,0.9463297232250302
1,$u_{power}$,193,24,15,131,363,0.9818647322381054,0.032059800664451826,0.980661658941985
2,$u_{baseline}$,221,23,23,128,395,0.9814479155560294,0.03674147963424772,0.9789949481520872
3,$u_{power} + u_{SCF}$,196,19,5,96,316,0.9870898332436794,0.03213641580586982,0.9830708239579986
4,$u_{baseline} + u_{SCF}$,216,17,14,108,355,0.9851018220793141,0.03562005277044855,0.9810535304477771
