,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,927,59,23,132,1141,0.9771269773407439,0.09864850484197084,0.9412612612612613
1,$u_{power}$,652,70,46,195,963,0.9676277714166753,0.07128799475180407,0.9507542827921248
2,$u_{baseline}$,669,67,50,196,982,0.967429760665973,0.07317073170731707,0.9498365345320802
3,$u_{power} + u_{SCF}$,653,67,45,195,960,0.9680274942720266,0.0713583214949186,0.9508951406649617
4,$u_{baseline} + u_{SCF}$,675,66,43,191,975,0.968736973739058,0.07371409850387682,0.9501712066233966
