,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF,749,29,15,72,865,0.9851434426229508,0.1045213508233324,0.9467659548279894
1,Power,168,21,14,118,321,0.983632862644416,0.029861357980803412,0.9828443161776496
2,Be,193,21,18,118,350,0.9832121471343028,0.03432942013518321,0.9813233724653149
3,Power + SCF,181,12,4,83,280,0.9892775912487816,0.03152760843058701,0.9849040327798146
4,Be + SCF,189,12,11,99,311,0.9868831308461455,0.033315705975674244,0.9833413680432803
