,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF,947,72,27,154,1200,0.9733908287757678,0.09798241076047594,0.9391171993911719
1,Power,796,76,51,202,1125,0.9658678286129266,0.08349066498846235,0.9430235502658902
2,Be,813,74,56,200,1143,0.9657640834111423,0.08527375707992448,0.9421587976316987
3,Power + SCF,798,76,49,199,1122,0.9663691094041935,0.08365656777439984,0.9431668523959073
4,Be + SCF,820,73,54,199,1146,0.9661544850498339,0.08594486951053348,0.9419981779532343
