,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF,717,27,13,66,823,0.9861038280020975,0.1035229569737222,0.9481313417785341
1,Power,148,19,12,112,291,0.9846698113207547,0.028319938767699962,0.9844059803869031
2,Be,175,16,16,104,311,0.9853951890034365,0.03338420450209843,0.9833360124310132
3,Power + SCF,165,12,4,69,250,0.9907073357384935,0.030515997780654707,0.986393817350604
4,Be + SCF,175,11,10,88,284,0.9882517784005174,0.03316906747536012,0.9847492213510901
