,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,SCF,829,35,17,88,969,0.9835429646173739,0.10175524733030564,0.9452635146585325
1,Power,285,37,20,154,496,0.9776790436898339,0.0395778364116095,0.9738672286617494
2,Be,307,36,29,153,525,0.976948292270276,0.042656662498263165,0.972372783244751
3,Power + SCF,283,35,18,151,487,0.9783898305084746,0.03922927640698642,0.9743129911915186
4,Be + SCF,311,31,21,138,501,0.9798237230540512,0.042973607848556035,0.9735689791611712
