pretty_name,model_name,final_auc_1_unc_frac_0.0,final_auc_10_unc_frac_0.0,final_auc_20_unc_frac_0.0,final_auc_1_unc_frac_0.01,final_auc_10_unc_frac_0.01,final_auc_20_unc_frac_0.01,final_auc_1_unc_frac_0.02,final_auc_10_unc_frac_0.02,final_auc_20_unc_frac_0.02,final_auc_1_unc_frac_0.03,final_auc_10_unc_frac_0.03,final_auc_20_unc_frac_0.03,final_auc_1_unc_frac_0.04,final_auc_10_unc_frac_0.04,final_auc_20_unc_frac_0.04,final_auc_1_unc_frac_0.05,final_auc_10_unc_frac_0.05,final_auc_20_unc_frac_0.05,final_auc_1_unc_frac_0.06,final_auc_10_unc_frac_0.06,final_auc_20_unc_frac_0.06,final_auc_1_unc_frac_0.07,final_auc_10_unc_frac_0.07,final_auc_20_unc_frac_0.07,final_auc_1_unc_frac_0.08,final_auc_10_unc_frac_0.08,final_auc_20_unc_frac_0.08,final_auc_1_unc_frac_0.09,final_auc_10_unc_frac_0.09,final_auc_20_unc_frac_0.09,final_auc_1_unc_frac_0.1,final_auc_10_unc_frac_0.1,final_auc_20_unc_frac_0.1,final_auc_1_unc_frac_0.11,final_auc_10_unc_frac_0.11,final_auc_20_unc_frac_0.11,final_auc_1_unc_frac_0.12,final_auc_10_unc_frac_0.12,final_auc_20_unc_frac_0.12,final_auc_1_unc_frac_0.13,final_auc_10_unc_frac_0.13,final_auc_20_unc_frac_0.13,final_auc_1_unc_frac_0.14,final_auc_10_unc_frac_0.14,final_auc_20_unc_frac_0.14,final_auc_1_unc_frac_0.15,final_auc_10_unc_frac_0.15,final_auc_20_unc_frac_0.15,final_auc_1_unc_frac_0.16,final_auc_10_unc_frac_0.16,final_auc_20_unc_frac_0.16,final_auc_1_unc_frac_0.17,final_auc_10_unc_frac_0.17,final_auc_20_unc_frac_0.17,final_auc_1_unc_frac_0.18,final_auc_10_unc_frac_0.18,final_auc_20_unc_frac_0.18,final_auc_1_unc_frac_0.19,final_auc_10_unc_frac_0.19,final_auc_20_unc_frac_0.19,final_auc_1_unc_frac_0.2,final_auc_10_unc_frac_0.2,final_auc_20_unc_frac_0.2,final_auc_1_unc_frac_0.21,final_auc_10_unc_frac_0.21,final_auc_20_unc_frac_0.21,final_auc_1_unc_frac_0.22,final_auc_10_unc_frac_0.22,final_auc_20_unc_frac_0.22,final_auc_1_unc_frac_0.23,final_auc_10_unc_frac_0.23,final_auc_20_unc_frac_0.23,final_auc_1_unc_frac_0.24,final_auc_10_unc_frac_0.24,final_auc_20_unc_frac_0.24,final_auc_1_unc_frac_0.25,final_auc_10_unc_frac_0.25,final_auc_20_unc_frac_0.25,final_auc_1_unc_frac_0.26,final_auc_10_unc_frac_0.26,final_auc_20_unc_frac_0.26,final_auc_1_unc_frac_0.27,final_auc_10_unc_frac_0.27,final_auc_20_unc_frac_0.27,final_auc_1_unc_frac_0.28,final_auc_10_unc_frac_0.28,final_auc_20_unc_frac_0.28,final_auc_1_unc_frac_0.29,final_auc_10_unc_frac_0.29,final_auc_20_unc_frac_0.29,final_auc_1_unc_frac_0.3,final_auc_10_unc_frac_0.3,final_auc_20_unc_frac_0.3,final_auc_1_unc_frac_0.31,final_auc_10_unc_frac_0.31,final_auc_20_unc_frac_0.31,final_auc_1_unc_frac_0.32,final_auc_10_unc_frac_0.32,final_auc_20_unc_frac_0.32,final_auc_1_unc_frac_0.33,final_auc_10_unc_frac_0.33,final_auc_20_unc_frac_0.33,final_auc_1_unc_frac_0.34,final_auc_10_unc_frac_0.34,final_auc_20_unc_frac_0.34,final_auc_1_unc_frac_0.35,final_auc_10_unc_frac_0.35,final_auc_20_unc_frac_0.35,final_auc_1_unc_frac_0.36,final_auc_10_unc_frac_0.36,final_auc_20_unc_frac_0.36,final_auc_1_unc_frac_0.37,final_auc_10_unc_frac_0.37,final_auc_20_unc_frac_0.37,final_auc_1_unc_frac_0.38,final_auc_10_unc_frac_0.38,final_auc_20_unc_frac_0.38,final_auc_1_unc_frac_0.39,final_auc_10_unc_frac_0.39,final_auc_20_unc_frac_0.39,final_auc_1_unc_frac_0.4,final_auc_10_unc_frac_0.4,final_auc_20_unc_frac_0.4,final_auc_1_unc_frac_0.41,final_auc_10_unc_frac_0.41,final_auc_20_unc_frac_0.41,final_auc_1_unc_frac_0.42,final_auc_10_unc_frac_0.42,final_auc_20_unc_frac_0.42,final_auc_1_unc_frac_0.43,final_auc_10_unc_frac_0.43,final_auc_20_unc_frac_0.43,final_auc_1_unc_frac_0.44,final_auc_10_unc_frac_0.44,final_auc_20_unc_frac_0.44,final_auc_1_unc_frac_0.45,final_auc_10_unc_frac_0.45,final_auc_20_unc_frac_0.45,final_auc_1_unc_frac_0.46,final_auc_10_unc_frac_0.46,final_auc_20_unc_frac_0.46,final_auc_1_unc_frac_0.47,final_auc_10_unc_frac_0.47,final_auc_20_unc_frac_0.47,final_auc_1_unc_frac_0.48,final_auc_10_unc_frac_0.48,final_auc_20_unc_frac_0.48,final_auc_1_unc_frac_0.49,final_auc_10_unc_frac_0.49,final_auc_20_unc_frac_0.49,final_auc_1_unc_frac_0.5,final_auc_10_unc_frac_0.5,final_auc_20_unc_frac_0.5,final_auc_1_unc_frac_0.51,final_auc_10_unc_frac_0.51,final_auc_20_unc_frac_0.51,final_auc_1_unc_frac_0.52,final_auc_10_unc_frac_0.52,final_auc_20_unc_frac_0.52,final_auc_1_unc_frac_0.53,final_auc_10_unc_frac_0.53,final_auc_20_unc_frac_0.53,final_auc_1_unc_frac_0.54,final_auc_10_unc_frac_0.54,final_auc_20_unc_frac_0.54
Косинусный MaxProb,pooling-with-PoolingSCF_use-det-score-True_eval-with-CosineSim_conf-func-MaxSimilarity_confidence,0.9597310681945833,0.9706283205600376,0.9726004740425918,0.9593958158506609,0.9702033099116654,0.9722150535429201,0.9593729753573118,0.9700911658686511,0.9720922552127543,0.9594092560686077,0.9698733422091785,0.9718620195660739,0.9594761353451062,0.9697248353880663,0.9716999615279596,0.9591736063636074,0.9696421598568645,0.9716573815751302,0.9590175223301276,0.9693240949206963,0.9713838256150116,0.9589195503577934,0.9691621991631398,0.9712063968626333,0.9592459006560333,0.9693654978648509,0.9713389850689376,0.9592828941406186,0.9693953809839669,0.97142018809615,0.9594827229328445,0.9695149091454283,0.97153033678541,0.9597668324027377,0.969709578407208,0.9717077011281973,0.95998333585059,0.9697796352744854,0.9718231791449434,0.9604655445903095,0.9699774326054079,0.9720065571038654,0.9609447465613711,0.9704041973118349,0.9723473431789246,0.9614557788185516,0.9708305409664186,0.9727491689657357,0.9616949291742524,0.9708280940179783,0.9727912402656569,0.9620547398063239,0.9708604344612305,0.9728697942020157,0.9629308001536772,0.9712516979155816,0.973244339152042,0.9629301330710467,0.9713137936305003,0.9732136661749617,0.9634082891934217,0.9715064329565273,0.9734583688231483,0.9640494660803849,0.9719201129683195,0.9737895382302005,0.9647487605278795,0.9722462873526039,0.9740811797012585,0.9656038997733198,0.9727189365208517,0.9745250183126168,0.9662461382493359,0.9732354222607862,0.9750214112310506,0.9671278025460246,0.9737990160166365,0.9755585996815772,0.9676063759763898,0.974009043701245,0.9757443077230834,0.9679797559243862,0.9743976308846406,0.9761078277722535,0.9687909513575352,0.9747799800659303,0.9764625566322935,0.9693869574581835,0.9754485378537923,0.976952471382682,0.9701996210030137,0.976132523624084,0.9774508640106556,0.9707903940889715,0.9764334161864023,0.9777015370268676,0.9710627748915914,0.9768747585727072,0.9781101375987742,0.9715687163125706,0.9771621238588509,0.9784294346975926,0.9720295494842183,0.9774677256120643,0.9787837122200908,0.97246307571764,0.977841665755266,0.979107195334527,0.9729582398619327,0.9780265644470186,0.9792549830884814,0.9738694553834881,0.9786779594878406,0.9799387612019104,0.9750197726612633,0.9795033865330386,0.9808133628364756,0.9757387381288779,0.9798144890980157,0.9810008167819199,0.9761195650948591,0.9802428483124337,0.9813041676725853,0.9768381306104195,0.9806918987496724,0.9816211236843279,0.9779904631018284,0.9813148527133169,0.9821228417207795,0.9784563058710325,0.9815588698488452,0.9823203208913756,0.979198598830425,0.9822435461615008,0.9830246628345645,0.9796321520130133,0.9824570388545685,0.9832710399480427,0.9801196539481839,0.9828713548628525,0.9837147778679947,0.9806078386286412,0.9832096140113369,0.9840857821936283,0.98095569356388,0.9833127182081172,0.9842291992336416,0.981463453074009,0.98384954609766,0.9847208489124044,0.9818979562649094,0.9843823159457306,0.9851079142606444,0.9830619208733535,0.9853025988180624,0.9859753301897392,0.9835982890023157,0.9856693859639707,0.986285332799117,0.9839734715335875,0.9860480950436807,0.9866088665721393,0.9845114721281694,0.9865148369736052,0.9870071868276767
SCF MaxProb,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-MaxSimilarity_confidence,0.9627425112714556,0.9732415557517009,0.9750528366810631,0.962138568312511,0.9727982592592643,0.9746459665394092,0.9615510227096518,0.9723250686789251,0.9742115996096268,0.9609999499538637,0.9718406000534865,0.9737665939872735,0.9602231520564821,0.9712997976667621,0.9732664543707146,0.9594597208430627,0.9707256573133585,0.9727357366390568,0.9588739790963241,0.9702776593705151,0.9722772743678794,0.9581736812512878,0.9697787841267156,0.9718247385255319,0.9577700375836624,0.9694661757340489,0.9715585935357578,0.9573658910502169,0.9692111834104293,0.9713514254399983,0.9573119018014558,0.9690620540318234,0.9711908626158778,0.9570695685203254,0.9687915041365311,0.9709708484523325,0.9570521197703841,0.9687915482513656,0.9710212339099571,0.9572906338551139,0.9687987369620639,0.9710250880414786,0.9576487690826587,0.9688371966095635,0.9711158758773241,0.9579828499478402,0.9690315962748477,0.9713717349867654,0.9582543698411552,0.96894154898104,0.9713403671784826,0.95896182590624,0.9691367382344047,0.9715201470713982,0.959649204582852,0.9692262425442513,0.9715981166318649,0.9606156811913511,0.9698552128337883,0.9720692109791884,0.9611355331583532,0.9700214047182807,0.9722849331328732,0.961596172988354,0.9704142945574727,0.9727368035655356,0.9625000915153834,0.9710285079743296,0.9731819973497824,0.9638195034494913,0.971427459512572,0.9736372264691089,0.96501483329072,0.971909197845179,0.9740226149712041,0.9660009108815723,0.9725332840909999,0.9745440360826986,0.9667238592708339,0.9729760960699718,0.9748886816949676,0.9679567063020038,0.9738193787473071,0.9754740042205989,0.9690066134412763,0.9745567616207762,0.9762505173056015,0.970307302608089,0.9753685183721774,0.9771083768524101,0.97140739701957,0.976123430578522,0.9777508645876715,0.9727317333694363,0.9770212142063006,0.9786181731043447,0.9744218554603743,0.9784210562825759,0.9798969079507427,0.9754284838751213,0.9792201664617007,0.980652777078547,0.9767866684228472,0.9801950038026817,0.9816017572917439,0.9776306823465314,0.9806408834085951,0.9820827498255132,0.9788317624726832,0.9814323827790632,0.9827505535533198,0.9796199455485427,0.9821294758909092,0.9834106493115364,0.9805493539312113,0.9828926732237598,0.9841185360707162,0.9819597213450081,0.9837736834820563,0.985048663131215,0.9824100025808638,0.9841907358654728,0.9854165345922983,0.9827659423319746,0.9846084725028643,0.9856926935215102,0.9836576659587293,0.9852041783555645,0.9862341424099771,0.9843402608503776,0.9856855694997955,0.9866681275378477,0.9851776723067105,0.9865696232759995,0.9874948105906747,0.9859080483888639,0.9872546880348557,0.988040755526713,0.9871887640915308,0.988314876723855,0.9891302714039361,0.987754473173673,0.9888428529669414,0.9895991466240737,0.9887917376864817,0.9898202969810808,0.9904126436307558,0.9893908541605638,0.9903709065629869,0.9909130485953521,0.9898210845798485,0.9907468511792277,0.9913077628864462,0.9903074266637901,0.9910804534789576,0.9916692840893732,0.9911214869699098,0.9918364906449688,0.992358747825835,0.9914361393135083,0.992092248337057,0.9925407496909315,0.9919776083956295,0.9924735946478205,0.9927448950355953
SCF NAC,pooling-with-PoolingSCF_use-det-score-True_eval-with-SCF_eval-args-k_shift:0-cosine_pred:False_conf-func-NAC_confidence_conf-args-k:120-s:1-normalize:True,0.9629078326723308,0.97287500345244,0.9745949301868508,0.9622885647533121,0.9723555833400588,0.9741102880904418,0.9616469613025587,0.9718176880173592,0.9736085487145405,0.9609146256423373,0.9713005948123856,0.9731300162273383,0.960143847184859,0.9707542238828446,0.9726233682593799,0.9593066843734238,0.9701513008058363,0.9720623674707014,0.9585169016589572,0.9695498977028748,0.9715040968647313,0.9575829123186199,0.9688706053844022,0.9708698501998141,0.9567524639356968,0.9681873986279623,0.9702338491037056,0.9560715149523167,0.9676588526696754,0.9696927286077359,0.9550591409570828,0.9669333746979487,0.969020502658851,0.954328013068083,0.9662999206171322,0.9684385899229393,0.9538835660084717,0.9658253416714386,0.9679483248582215,0.9536584903136065,0.9656396293254179,0.9678158370103831,0.9536545448538843,0.965476811526756,0.9677070579026985,0.9541767714019599,0.9657478492937781,0.9680402426822481,0.9549222376916967,0.9662654528726886,0.9684789155925844,0.955236060634312,0.9663559326633127,0.9686214836941416,0.956241010867099,0.96687928848793,0.9691249621829943,0.9577181087859762,0.9676329466478589,0.9697834504783063,0.958926462568432,0.9684791698693052,0.9706836899465365,0.9603351318182748,0.969358668860086,0.971466187346839,0.9616019017021267,0.9703796997035723,0.9723151480969812,0.9627430222762623,0.9711211259072894,0.973031840212227,0.9636624142777069,0.971860803400171,0.9738105136033396,0.9650095045961813,0.9727938298876544,0.9745606152900518,0.9662730411484237,0.9737218501132203,0.9753756571542811,0.9674889550534524,0.9744998064804486,0.9760394023704306,0.9685315385579003,0.9750989687644798,0.9765918027732042,0.9701998906977631,0.9763609270349638,0.9778188956296041,0.9718842092955946,0.9774298499559173,0.9787653015295599,0.9738708162539702,0.9785309542736009,0.9795774930037076,0.9748950645697851,0.9791071729195475,0.9801846758720161,0.9758482708268525,0.9799340788256148,0.9808068923692432,0.97696760278447,0.9806227089588635,0.9815156172697306,0.9776299601632921,0.9811732747134635,0.9821047315397116,0.9789075117023658,0.982154906474199,0.9831188793500809,0.9796608520929857,0.9828442559081477,0.9838386556934335,0.9811915108814921,0.9840602817537043,0.9850041340629876,0.9820186332972223,0.9846709597885415,0.9856448101546027,0.9826959230325967,0.9851957821189513,0.9862047825246971,0.9833705173386154,0.9854627075252428,0.9864315961247107,0.9839693832340102,0.9858177726542476,0.9867370259055063,0.9849759993991845,0.9866389864714589,0.9875135533676898,0.9856533433018588,0.9872100561082389,0.9881159707886916,0.986563151899715,0.9881054590857041,0.9888957906294776,0.9876227839082263,0.9889816253407817,0.989810125014289,0.9880560073404479,0.9893198163737815,0.9901823989168907,0.9886487550619559,0.9897934024076893,0.9905320066322283,0.9894794983416759,0.9905956863249263,0.9911901741827277,0.990156998284939,0.9912403371832345,0.9918707553006498,0.9904949893850559,0.9913819101503591,0.9920510007839227,0.9910040643900806,0.9918697947391383,0.9924871297659241,0.9914239047842346,0.9922460396674299,0.9928181518012252,0.991926792023867,0.9927909626697928,0.9934011252173345
