,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,0.0014,0.0029,0.015,0.0306
1,$u_{vMF}$,0.0006,0.0008,0.0053,0.0148
2,$u_{power}$,0.0005,0.0008,0.0051,0.0142
3,$u_{baseline}$,0.0006,0.0009,0.0054,0.0152
4,$u_{vMF} + u_{SCF}$,0.0007,0.001,0.0059,0.0149
5,$u_{power} + u_{SCF}$,0.0006,0.0008,0.0054,0.0144
6,$u_{baseline} + u_{SCF}$,0.0006,0.0008,0.0055,0.0152
