,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,56.82,44.16,18.3,12.62
1,$u_{vMF}$,26.24,22.52,15.06,12.48
2,$u_{power}$,26.88,22.9,15.16,12.5
3,$u_{baseline}$,26.16,22.34,14.8,12.2
4,$u_{vMF} + u_{SCF}$,39.46,27.52,14.3,11.62
5,$u_{power} + u_{SCF}$,26.66,21.84,14.24,11.56
6,$u_{baseline} + u_{SCF}$,23.26,20.1,13.24,11.04
