,models,FAR=0.005,FAR=0.01,FAR=0.05,FAR=0.1
0,$u_{SCF}$,104.34,104.4,176.9,297.84
1,$u_{vMF}$,86.86,83.72,111.54,182.4
2,$u_{power}$,87.5,84.3,110.58,178.98
3,$u_{baseline}$,86.9,83.84,113.24,186.4
4,$u_{vMF} + u_{SCF}$,82.98,74.68,105.5,177.0
5,$u_{power} + u_{SCF}$,72.16,68.7,102.88,173.5
6,$u_{baseline} + u_{SCF}$,74.78,73.18,106.0,180.02
